"","age","ifr_mean","ifr_cl","ifr_cu","alpha","beta"
"1","1",8.86745915452435e-06,1.95193450414599e-06,0.000183621748428354,0.0410578865397081,4630.13381230269
"2","10",0.00217302842685613,0.0011403977756989,0.00461891696530637,4.99070324900108,2291.6673557629
"3","11",0.00426015738712838,0.00245148378454827,0.00932322694189292,4.65507837273312,1088.04595347129
"4","12",0.0084670527303836,0.00483642701165142,0.0176265950367952,5.46744307385685,640.264105784603
"5","13",0.0151622694254156,0.00863549544540941,0.0305788193910775,6.03758473636374,392.160374089199
"6","14",0.0242011481516161,0.0141465866800439,0.0491362716943237,5.89941070134944,237.866325717048
"7","15",0.0358804774112084,0.0209490319379062,0.0721751018451717,6.00259535431988,161.291593224252
"8","16",0.050875448413158,0.0279601512706012,0.0966306307524326,6.99499374237581,130.497528889949
"9","17",0.0686391021797722,0.0346908518012467,0.120912210698262,8.50695518165811,115.430493175076
"10","18",0.0874384008638102,0.0413001532383271,0.145079519672606,9.82288804503184,102.517776331156
"11","19",0.106315202591442,0.0479004597146038,0.169238559014808,10.732017121853,90.2132556167504
"12","2",2.40836142834905e-05,2.1641655481838e-06,0.000314147827033328,0.0410397951059646,1704.01361840035
"13","20",0.127079684491838,0.0551607968385082,0.195813502291231,11.3838757565526,78.1967350395323
"14","3",4.92257325430648e-05,7.83609736801416e-06,0.000441227749889449,0.129440327252712,2629.39622776659
"15","4",0.000103083077837452,2.95070774477207e-05,0.000565146429394527,0.41274223420827,4003.56388387226
"16","5",0.00021876275222778,8.83164561332449e-05,0.000762111252608156,1.16451937028647,5322.04228081639
"17","6",0.000435769199367323,0.000209735931057003,0.00116269770805091,2.42031749657521,5551.70672977793
"18","7",0.000714134133546791,0.000354202297057667,0.00165821099549537,3.70945662383222,5190.63212373023
"19","8",0.000955376062191929,0.000435766885484183,0.00196267460381239,5.3505712514303,5595.13646539719
"20","9",0.00130309852607932,0.000582524416941626,0.00254153535584939,6.27596380143404,4809.90921009846
